,NeuronID,Group,BrainRegion,DSI (VIS),DSI (AUD),RCI (VISpref congruent),RCI (VISpref incongruent),RCI (AUDpref congruent),RCI (AUDpref incongruent),RCI (VISnonpref congruent),RCI (VISnonpref incongruent),RCI (AUDnonpref congruent),RCI (AUDnonpref incongruent),pref_VIS,prefVIS_MST+,prefVIS_MST-,nonpref_VIS,nonprefVIS_MST+,nonprefVIS_MST-,pref_AUD,prefAUD_MST+,prefAUD_MST-,nonpref_AUD,nonprefAUD_MST+,nonprefAUD_MST-,pref_VIS_idx,prefVIS_MST+_idx,prefVIS_MST-_idx,nonpref_VIS_idx,nonprefVIS_MST+_idx,nonprefVIS_MST-_idx,pref_AUD_idx,prefAUD_MST+_idx,prefAUD_MST-_idx,nonpref_AUD_idx,nonprefAUD_MST+_idx,nonprefAUD_MST-_idx,NeuronType
3237,973,g2pre,V1,1.3648562198862322,0.2129983051832832,0.10900835881435984,0.06492636940254344,-0.7636885037159323,0.7876168425896044,-0.4790521024397256,-0.5400169753761236,0.9205401268147506,-0.5401915754806121,1.0706398677612645,1.3326147044961518,1.2193185541807363,-0.05510804026850256,0.019410011093718902,-0.016460054304017768,-0.14486478212570467,0.019410011093718902,1.2193185541807363,-0.0551352163621191,1.3326147044961518,-0.016460054304017768,7,5,2,6,1,4,0,1,2,3,5,4,V
3238,974,g2pre,V1,0.099230138508993,0.24344927265980787,-0.16973488373261064,-0.0005544346387454705,-0.37782932071351266,-0.8963633790632443,-0.09754600793813531,-0.7528280844464834,0.2961809946466979,0.5719727788271689,0.18736597587641599,0.1329903347407955,0.1871583266300544,0.11413999396266035,0.09385127590143451,0.016095246989339836,0.2945140114727239,0.1329903347407955,0.016095246989339836,0.05096071607969418,0.09385127590143451,0.1871583266300544,6,1,4,7,5,2,0,1,2,3,5,4,M
3239,975,g2pre,V1,0.3395312505496142,0.01182213563973688,-0.13068037652540873,-0.1097574833998123,0.5218812744366359,-0.08738007072335892,0.8134949965676745,0.7788618128049946,0.09163000204222971,0.5946553105620231,0.33776002265206473,0.259685603299284,0.270949587698686,-0.00851202647147909,-0.08276730989836503,-0.06847175077159798,0.08158359773666858,0.259685603299284,-0.06847175077159798,0.06887254929114665,-0.08276730989836503,0.270949587698686,6,1,4,7,5,2,0,1,2,3,5,4,V
3240,976,g2pre,V1,0.9001092455705285,0.061042352493942076,-0.04351341744276418,-0.061997211202177376,0.6577820288144985,-0.15363191070627255,-0.3802529154921539,-0.42396988205776576,-0.03752068687893149,0.6834241128270788,1.2086951962146886,1.1078925467138483,1.0675729209990084,0.4147827229129349,0.1862415071500557,0.1677896027229644,-0.22870361304319364,1.1078925467138483,0.1677896027229644,-0.2007621501984295,0.1862415071500557,1.0675729209990084,6,1,4,7,5,2,0,1,2,3,5,4,V
3241,977,g2pre,V1,1.3032818178054544,0.049270615679736805,0.06101489881997088,0.0707979183538707,0.021478263305491293,0.6530266962620559,-0.1923027509753797,-0.26668739426419047,0.6741697714754017,-0.009468894942476637,1.9026272963710038,2.149891309046609,2.1925578822941185,0.7091920449507925,0.4804253477300986,0.4105665445199064,0.4602218789185586,0.4804253477300986,2.1925578822941185,0.4184160940335057,2.149891309046609,0.4105665445199064,6,1,4,7,5,2,3,5,4,0,1,2,M
3242,978,g2pre,V1,0.333772112018216,0.07002842781198555,-0.18530331021692736,-0.3071614251631154,0.35713691520629715,-0.008548678079707604,0.7292030237980007,0.43284088616739536,0.7290962712430691,0.6140328972502593,-0.2907609767523868,-0.19984927337704786,-0.15411288680444807,-0.03683654408693509,-0.23522368792582649,-0.09306190306314382,0.0946667347541862,-0.19984927337704786,-0.09306190306314382,0.036853340794756224,-0.23522368792582649,-0.15411288680444807,7,5,2,6,1,4,3,5,4,0,1,2,
3243,979,g2pre,V1,0.3003424231503434,0.0212258337661207,0.04536136404019847,-0.05645240306380419,0.9515020428808967,0.755978915911213,-0.39942609259717415,-0.5170160304044181,0.9963090980565115,0.9989077266084188,0.5367066891120272,0.5877118476936153,0.4793479623905506,0.33011729585205274,0.14167224358606498,0.10510196252855578,-0.014605582449586794,0.5877118476936153,0.10510196252855578,-0.00026193256329857867,0.14167224358606498,0.4793479623905506,6,1,4,7,5,2,0,1,2,3,5,4,V
3244,980,g2pre,V1,0.5799443100125625,0.20299127175752665,-0.1063705692905563,-0.07178502740958234,0.6119581030393801,0.5645547256218812,0.013392574830887374,0.12054762213805326,0.632087414556997,0.7442974120505077,1.1090503357361052,0.8957939117880626,0.9604884381290049,0.6080960211439006,0.6246050626527634,0.7748009644148952,-0.2156418136182302,0.8957939117880626,0.7748009644148952,-0.14080132070851273,0.6246050626527634,0.9604884381290049,6,1,4,7,5,2,0,1,2,3,5,4,V
3245,981,g2pre,V1,0.2655184296665365,0.07346948881560562,-0.03340671345086118,0.01892990703297895,0.6209242064791698,0.8032869712250309,-0.07178462880735248,0.05345433931855635,0.9628427948867253,0.9446906667095163,-0.5994576188159348,-0.5607005473994993,-0.6225908833517605,-0.3353254072491033,-0.29040740928184966,-0.37319911761680447,0.0679158338667579,-0.29040740928184966,-0.6225908833517605,-0.01061423018752296,-0.5607005473994993,-0.37319911761680447,7,5,2,6,1,4,0,1,2,3,5,4,V
3246,982,g2pre,V1,0.8344833208986471,0.004298026407980463,-0.02880452431714571,-0.09410281361923943,0.727045612605894,-0.142836014641939,-0.2293277876657571,-0.5053905076729195,0.18234349578143502,0.697310986575962,1.3324682735619864,1.257855237012373,1.1032594422899553,0.4538200273680293,0.2845022198330057,0.14910662196970131,-0.19880025353304248,1.257855237012373,0.14910662196970131,-0.19674916074818888,0.2845022198330057,1.1032594422899553,6,1,4,7,5,2,0,1,2,3,5,4,V
